R&D Spend,Administration,Marketing Spend,State,Number.of.Years,Profit
165349.2,136897.8,471784.1,New York,1,192261.83
162597.7,151377.59,443898.53,California,5,191792.06
153441.51,101145.55,407934.54,Florida,2,191050.39
144372.41,118671.85,383199.62,New York,7,182901.99
142107.34,91391.77,366168.42,Florida,5,166187.94
131876.9,99814.71,362861.36,New York,2,156991.12
134615.46,147198.87,127716.82,California,1,156122.51
130298.13,145530.06,323876.68,Florida,7,155752.6
120542.52,148718.95,311613.29,New York,9,152211.77
123334.88,108679.17,304981.62,California,9,149759.96
101913.08,110594.11,229160.95,Florida,6,146121.95
100671.96,91790.61,249744.55,California,6,144259.4
93863.75,127320.38,249839.44,Florida,1,141585.52
91992.39,135495.07,252664.93,California,3,134307.35
119943.24,156547.42,256512.92,Florida,3,132602.65
114523.61,122616.84,261776.23,New York,6,129917.04
78013.11,121597.55,264346.06,California,9,126992.93
94657.16,145077.58,282574.31,New York,6,125370.37
91749.16,114175.79,294919.57,Florida,4,124266.9
86419.7,153514.11,0.0,New York,3,122776.86
76253.86,113867.3,298664.47,California,1,118474.03
78389.47,153773.43,299737.29,New York,7,111313.02
73994.56,122782.75,303319.26,Florida,2,110352.25
67532.53,105751.03,304768.73,Florida,10,108733.99
77044.01,99281.34,140574.81,New York,7,108552.04
64664.71,139553.16,137962.62,California,2,107404.34
75328.87,144135.98,134050.07,Florida,1,105733.54
72107.6,127864.55,353183.81,New York,6,105008.31
66051.52,182645.56,118148.2,Florida,8,103282.38
65605.48,153032.06,107138.38,New York,2,101004.64
61994.48,115641.28,91131.24,Florida,1,99937.59
61136.38,152701.92,88218.23,New York,2,97483.56
63408.86,129219.61,46085.25,California,3,97427.84
55493.95,103057.49,214634.81,Florida,3,96778.92
46426.07,157693.92,210797.67,California,1,96712.8
46014.02,85047.44,205517.64,New York,5,96479.51
28663.76,127056.21,201126.82,Florida,7,90708.19
44069.95,51283.14,197029.42,California,10,89949.14
20229.59,65947.93,185265.1,New York,8,81229.06
38558.51,82982.09,174999.3,California,5,81005.76
28754.33,118546.05,172795.67,California,8,78239.91
27892.92,84710.77,164470.71,Florida,1,77798.83
23640.93,96189.63,148001.11,California,5,71498.49
15505.73,127382.3,35534.17,New York,6,69758.98
22177.74,154806.14,28334.72,California,9,65200.33
1000.23,124153.04,1903.93,New York,8,64926.08
1315.46,115816.21,297114.46,Florida,4,49490.75
0.0,135426.92,0.0,California,10,42559.73
542.05,51743.15,0.0,New York,9,35673.41
0.0,116983.8,45173.06,California,10,14681.4
87151.0,123327.9523,236937.1317,New York,6,123485.2464
38772.0,116183.1212,143589.7191,California,1,82155.48418
89939.0,123739.6968,242316.5853,Florida,7,125867.0108
65485.0,120128.2187,195132.5255,New York,9,104976.1696
47724.0,117505.1933,160862.6275,Florida,7,89803.10053
30744.0,114997.5096,128099.6711,New York,9,75297.23305
76381.0,121737.3896,216156.3873,California,10,114284.5283
143923.0,131712.2998,346478.8607,Florida,8,171985.0761
27280.0,114485.9303,121415.8737,New York,9,72337.96774
141092.0,131294.2049,341016.4385,California,7,169566.5772
128338.0,129410.636,316407.5606,Florida,6,158670.9451
76660.0,121778.5936,216694.7185,California,9,114522.8756
43088.0,116820.5277,151917.4528,Florida,1,85842.60573
60955.0,119459.2077,186391.8781,California,3,101106.2297
12052.0,112236.9898,92033.40609,Florida,2,59328.81874
126549.0,129146.4284,312955.6803,New York,8,157142.6178
22986.0,113851.7728,113130.5889,California,5,68669.64059
150633.0,132703.2632,359425.824,New York,3,177717.3712
53116.0,118301.5084,171266.5062,Florida,6,94409.4396
157923.0,133779.8836,373491.8989,New York,6,183945.1553
39157.0,116239.9797,144332.5776,California,9,82484.38635
111768.0,126963.503,284435.7004,New York,7,144515.3371
65903.0,120189.9508,195939.0576,Florida,2,105333.2634
85800.0,123128.4304,234330.3735,Florida,8,122331.0988
139796.0,131102.8057,338515.8029,New York,7,168459.4156
13947.0,112516.8521,95689.81377,California,10,60947.70089
133094.0,130113.0238,325584.2756,Florida,6,162733.9549
155148.0,133370.059,368137.5289,New York,1,181574.4968
28731.0,114700.2205,124215.5821,Florida,4,73577.54452
41847.0,116637.2512,149522.94,New York,10,84782.43014
140277.0,131173.8419,339443.8938,Florida,2,168870.3298
27595.0,114532.4509,122023.667,New York,6,72607.06952
9078.0,111797.776,86295.06497,California,1,56788.15621
21586.0,113645.0144,110429.2851,Florida,6,67473.63267
4330.0,111096.5697,77133.786,California,4,52731.98078
106761.0,126224.0464,274774.6802,New York,7,140237.9002
137618.0,130781.1487,334313.346,Florida,9,166598.769
63161.0,119784.9998,190648.3612,California,9,102990.7964
34384.0,115535.0813,135123.0611,New York,1,78406.85364
73431.0,121301.7202,210464.3542,California,5,111764.3688
17125.0,112986.1936,101821.7734,California,8,63662.63887
109497.0,126628.1113,280053.7997,Florida,4,142575.2414
78366.0,122030.5434,219986.4502,California,9,115980.2967
98190.0,124958.2421,258236.9123,New York,8,132915.7689
125158.0,128940.9992,310271.742,California,3,155954.2985
138570.0,130921.7444,336150.2326,New York,3,167412.0544
46445.0,117316.3048,158394.7935,Florida,9,88710.46186
134739.0,130355.9649,328758.3076,California,8,164139.2642
96620.0,124726.3773,255207.593,New York,7,131574.5314
140797.0,131250.6379,340447.2352,California,8,169314.5613
44017.0,116957.7267,153709.9609,New York,1,86636.24242
150342.0,132660.287,358864.3387,California,1,177468.7724
127529.0,129291.1592,314846.5929,Florida,3,157979.8234
9261.0,111824.8023,86648.16397,New York,8,56944.49153
57905.0,119008.7698,180506.8948,Florida,4,98500.64098
44699.0,117058.4475,155025.8817,New York,1,87218.86913
151853.0,132883.4384,361779.8174,California,5,178759.6067
61613.0,119556.3841,187661.4909,Florida,6,101668.3534
120275.0,128219.8555,300849.9801,New York,5,151782.7938
23224.0,113886.9217,113589.8106,California,7,68872.96194
105331.0,126012.8575,272015.4913,Florida,7,139016.2635
23501.0,113927.8303,114124.2829,California,1,69109.60065
7092.0,111504.4745,82463.07255,Florida,2,55091.53354
102136.0,125541.0053,265850.7301,California,10,136286.8026
85772.0,123124.2953,234276.3474,Florida,2,122307.1786
123288.0,128664.829,306663.5719,New York,9,154356.7737
76992.0,121827.6249,217335.3134,California,6,114806.5004
7715.0,111596.4819,83665.15275,New York,2,55623.75707
29104.0,114755.3069,124935.2867,Florida,2,73896.1952
144996.0,131870.7654,348549.2171,New York,7,172901.7308
94169.0,124364.4025,250478.3818,California,1,129480.6633
78261.0,122015.0366,219783.8524,New York,9,115890.5961
140902.0,131266.1448,340649.833,Florida,7,169404.2619
131845.0,129928.5658,323174.3267,Florida,2,161666.9449
1269.0,110644.5073,71227.57814,New York,9,50116.99489
43990.0,116953.7392,153657.8643,California,7,86613.17655
49875.0,117822.8628,165012.9879,Florida,1,91640.68127
105070.0,125974.3118,271511.8911,New York,6,138793.2935
93591.0,124279.0408,249363.1293,Florida,5,128986.8828
73077.0,121249.4398,209781.3102,New York,8,111461.9497
94548.0,124420.3749,251209.6634,Florida,1,129804.4397
151956.0,132898.6499,361978.5561,New York,9,178847.5987
60864.0,119445.7684,186216.2934,California,6,101028.4891
102790.0,125637.591,267112.6249,Florida,7,136845.5092
53315.0,118330.8977,171650.4773,California,6,94579.44358
116723.0,127695.2799,293996.3864,New York,1,148748.3508
49288.0,117736.1719,163880.3698,Florida,3,91139.21223
145513.0,131947.1183,349546.77,California,7,173343.3994
148513.0,132390.1719,355335.2782,New York,2,175906.2735
74741.0,121495.1869,212992.0028,California,3,112883.4905
104234.0,125850.8475,269898.8268,California,6,138079.1059
34715.0,115583.9649,135761.7265,Florida,4,78689.62408
107457.0,126326.8348,276117.6141,California,2,140832.487
156016.0,133498.2492,369812.3372,New York,1,182316.0217
93879.0,124321.5739,249918.826,California,9,129232.9188
121139.0,128347.4549,302517.0705,New York,7,152520.9015
99283.0,125119.6613,260345.8588,Florida,9,133849.5093
140934.0,131270.8707,340711.577,California,5,169431.5992
70585.0,120881.4099,204972.9894,New York,3,109333.0556
84834.0,122985.7671,232466.4738,California,5,121505.8533
70098.0,120809.4875,204033.3216,New York,7,108917.0157
140809.0,131252.4101,340470.3892,California,6,169324.8128
131560.0,129886.4757,322624.4184,Florida,3,161423.4719
143330.0,131624.7229,345334.6656,New York,9,171478.4813
103756.0,125780.2543,268976.5245,Florida,6,137670.7546
66195.0,120233.0747,196502.4724,New York,9,105582.7164
108206.0,126437.4506,277562.8117,California,2,141472.3512
141099.0,131295.2386,341029.945,Florida,3,169572.5573
91258.0,123934.4927,244861.5994,New York,10,126993.8211
82771.0,122681.0939,228485.9097,California,7,119743.4502
63354.0,119813.5029,191020.7552,Florida,7,103155.6747
43639.0,116901.9019,152980.6088,California,1,86313.32028
66303.0,120249.0247,196710.8587,Florida,3,105674.9799
120844.0,128303.888,301947.8672,California,8,152268.8856
61968.0,119608.8121,188346.4644,Florida,1,101971.6268
137388.0,130747.1813,333869.5604,New York,6,166402.282
41818.0,116632.9683,149466.9844,California,8,84757.65569
109162.0,126578.637,279407.4163,New York,8,142289.0538
124648.0,128865.68,309287.6956,Florida,5,155518.6099
150584.0,132696.0267,359331.2784,New York,7,177675.5109
72698.0,121193.4674,209050.0287,California,1,111138.1732
109398.0,126613.4906,279862.7789,New York,3,142490.6665
19644.0,113358.211,106682.1908,Florida,9,65814.59883
46632.0,117343.9218,158755.6105,Florida,6,88870.21435
89242.0,123636.7607,240971.7219,New York,9,125271.5697
133947.0,130238.9987,327230.1415,California,9,163462.6654
123502.0,128696.4335,307076.4854,Florida,9,154539.592
119535.0,128110.5689,299422.1481,New York,3,151150.6182
151311.0,132803.3933,360734.0269,Florida,6,178296.5808
67153.0,120374.5565,198350.9361,New York,9,106401.1276
32321.0,115230.4081,131142.4969,Florida,2,76644.45054
71633.0,121036.1833,206995.1083,New York,9,110228.3529
86080.0,123169.7821,234870.6342,California,6,122570.3004
6055.0,111351.3256,80462.17821,Florida,4,54205.63339
29050.0,114747.3319,124831.0935,California,10,73850.06347
79974.0,122268.0202,223089.0906,New York,6,117353.9972
17303.0,113012.4814,102165.2249,Florida,2,63814.70273
21265.0,113597.6077,109809.9147,California,5,67199.40514
154934.0,133338.4545,367724.6153,New York,9,181391.6784
155120.0,133365.9238,368083.5028,California,4,181550.5766
126307.0,129110.6887,312488.7406,California,4,156935.8793
155154.0,133370.9451,368149.1059,Florida,6,181579.6225
53078.0,118295.8964,171193.1851,California,5,94376.97653
31835.0,115158.6334,130204.7586,New York,7,76229.26494
47467.0,117467.2384,160366.7453,California,1,89583.54765
149605.0,132551.4435,357442.2952,New York,9,176839.1597
75555.0,121615.4022,214562.618,Florida,2,113578.8837
29784.0,114855.7324,126247.3485,California,4,74477.11333
46373.0,117305.6715,158255.8693,New York,9,88648.95289
52714.0,118242.1392,170490.8461,California,4,94066.01447
114529.0,127371.26,289763.0574,California,1,146874.0356
134049.0,130254.0625,327426.9507,Florida,4,163549.8031
105163.0,125988.0465,271691.3349,New York,5,138872.7426
84807.0,122981.7797,232414.3773,Florida,10,121482.7874
47480.0,117469.1583,160391.8288,New York,4,89594.65343
52985.0,118282.1617,171013.7414,California,2,94297.52743
129319.0,129555.5146,318300.4028,Florida,10,159509.0049
37618.0,116012.6932,141363.0729,New York,6,81169.63193
80380.0,122327.9801,223872.4687,California,2,117700.8395
14469.0,112593.9434,96697.01419,Florida,6,61393.64099
141203.0,131310.5978,341230.6133,California,9,169661.4036
143533.0,131654.7029,345726.3546,Florida,9,171651.9025
92746.0,124154.2473,247732.6995,California,3,128265.0066
30713.0,114992.9313,128039.8566,Florida,9,75270.75002
70966.0,120937.6777,205708.13,New York,3,109658.5406
113478.0,127216.0435,287735.1501,California,8,145976.1753
5107.0,111211.3206,78633.00963,New York,8,53395.76517
111210.0,126881.095,283359.0379,Florida,7,144038.6425
6166.0,111367.7186,80676.35302,New York,1,54300.45973
10758.0,112045.886,89536.62956,California,5,58223.36571
19870.0,113391.5877,107118.2584,New York,10,66007.66868
84817.0,122983.2565,232433.6723,Florida,8,121491.3304
47856.0,117524.6877,161117.3219,Florida,6,89915.86699
155761.0,133460.5896,369320.314,New York,7,182098.1774
22390.0,113763.7528,111980.6053,California,4,68160.48294
102474.0,125590.9227,266502.902,Florida,9,136575.5531
73031.0,121242.6463,209692.5531,New York,3,111422.6523
108606.0,126496.5244,278334.6128,Florida,10,141814.0678
43074.0,116818.4601,151890.4398,New York,1,85830.64565
85328.0,123058.7233,233419.6482,Florida,10,121927.8732
55700.0,118683.1253,176252.3413,New York,10,96616.9285
48759.0,117658.0468,162859.6628,California,8,90687.2921
124538.0,128849.4347,309075.4503,Florida,6,155424.6379
86530.0,123236.2402,235738.9105,California,10,122954.7315
75098.0,121547.9103,213680.8353,New York,2,113188.4725
134440.0,130311.8072,328181.3863,Florida,1,163883.8311
23354.0,113906.1207,113840.646,California,6,68984.01982
58848.0,119148.0363,182326.4159,New York,8,99306.23774
3854.0,111026.2719,76215.3427,California,6,52325.33808
11310.0,112127.4079,90601.71506,California,7,58694.93455
36517.0,115850.0925,139238.6904,Florida,6,80229.05713
65189.0,120084.5041,194561.3927,California,6,104723.2993
2603.0,110841.5185,73801.53479,New York,4,51256.61958
2696.0,110855.2532,73980.97854,California,8,51336.06868
4908.0,111181.9314,78249.03858,New York,6,53225.76119
18307.0,113160.7567,104102.4457,Florida,4,64672.41127
145420.0,131933.3836,349367.3263,California,3,173263.9503
124967.0,128912.7914,309903.2069,New York,7,155791.1289
81122.0,122437.5621,225304.1597,California,1,118334.7237
48147.0,117567.6639,161678.8072,New York,7,90164.46578
107504.0,126333.776,276208.3008,California,7,140872.6387
78966.0,122119.1542,221144.1518,Florida,9,116492.8715
11572.0,112166.1013,91107.24478,New York,5,58918.75889
17929.0,113104.932,103373.0936,Florida,3,64349.48913
135016.0,130396.8735,329292.7799,New York,9,164375.9029
140499.0,131206.6279,339872.2434,California,7,169059.9825
70972.0,120938.5638,205719.707,Florida,6,109663.6663
23044.0,113860.3385,113242.5001,New York,2,68719.18949
62977.0,119757.8258,190293.3327,California,5,102833.6068
127949.0,129353.1867,315656.9841,Florida,2,158338.6258
140062.0,131142.0898,339029.0507,California,5,168686.6571
142634.0,131521.9344,343991.7317,Florida,9,170883.8945
51407.0,118049.1155,167968.9861,California,10,92949.45565
71393.0,121000.739,206532.0276,Florida,6,110023.323
90687.0,123850.1648,243759.8533,New York,1,126506.0207
95482.0,124558.3123,253011.8189,California,7,130602.3478
79898.0,122256.7962,222942.4484,New York,1,117289.0711
80315.0,122318.3806,223747.051,Florida,10,117645.3106
116953.0,127729.2474,294440.1721,New York,7,148944.8378
77184.0,121855.9803,217705.778,California,5,114970.5243
141804.0,131399.3563,342390.2444,New York,2,170174.8327
51183.0,118016.0342,167536.7775,Florida,8,92758.09438
109716.0,126660.4543,280476.3608,Florida,10,142762.3312
140198.0,131162.1749,339291.463,New York,6,168802.8408
8318.0,111685.5357,84828.64289,California,4,56138.89476
130650.0,129752.0827,320868.571,Florida,8,160646.0668
132796.0,130069.0138,325009.2838,New York,5,162479.376
114589.0,127380.1211,289878.8276,Florida,8,146925.293
14349.0,112576.2213,96465.47386,New York,10,61291.12602
74459.0,121453.5399,212447.883,Florida,10,112642.5803
78709.0,122081.1992,220648.2696,New York,6,116273.3187
70529.0,120873.1396,204864.9373,California,4,109285.2152
63481.0,119832.2588,191265.802,Florida,8,103264.1697
12968.0,112372.2689,93800.83059,California,9,60111.34964
7251.0,111527.9563,82769.86348,New York,10,55227.36587
28913.0,114727.0991,124566.7516,Florida,5,73733.02555
57470.0,118944.527,179667.5611,California,6,98129.02423
39280.0,116258.1449,144569.9064,New York,1,82589.46419
140284.0,131174.8757,339457.4003,California,3,168876.3098
65509.0,120131.7631,195178.8336,California,2,104996.6726
115538.0,127520.2737,291709.9257,Florida,1,147736.0156
155075.0,133359.278,367996.6752,California,7,181512.1335
54112.0,118448.6022,173188.2909,New York,8,95260.31381
50269.0,117881.0505,165773.212,California,3,91977.27207
90441.0,123813.8344,243285.1957,New York,8,126295.865
146667.0,132117.5463,351773.4162,Florida,9,174329.2516
81041.0,122425.5996,225147.87,California,1,118265.5261
122666.0,128572.9692,305463.4212,New York,8,153825.4044
52746.0,118246.8651,170552.5902,California,9,94093.35179
139181.0,131011.9797,337329.1588,California,3,167934.0264
63457.0,119828.7144,191219.494,Florida,6,103243.6667
130989.0,129802.1478,321522.6724,New York,6,160935.6715
67877.0,120481.4801,199747.896,Florida,4,107019.6345
145505.0,131945.9368,349531.334,New York,10,173336.5651
28236.0,114627.1167,123260.4783,California,1,73154.67029
113363.0,127199.0598,287513.2573,Florida,8,145877.9318
134787.0,130363.0537,328850.9238,New York,9,164180.2702
158727.0,133898.622,375043.2191,California,10,184632.0056
120520.0,128256.0382,301322.7083,Florida,5,151992.0952
60472.0,119387.876,185459.9283,California,10,100693.6069
154106.0,133216.1717,366126.987,Florida,1,180684.3252
40219.0,116396.8207,146381.7095,California,6,83391.64379
84406.0,122922.5582,231640.6467,Florida,7,121140.2166
20629.0,113503.6803,108582.751,New York,4,66656.07583
87536.0,123384.8108,237679.9902,California,2,123814.1486
118530.0,127962.1459,297482.9979,New York,5,150292.0553
129325.0,129556.4007,318311.9798,Florida,5,159514.1307
44466.0,117024.037,154576.3076,New York,3,87019.81924
55907.0,118713.696,176651.7484,California,7,96793.76682
65694.0,120159.0848,195535.7916,New York,6,105154.7165
148622.0,132406.2696,355545.594,Florida,7,175999.3913
140627.0,131225.5315,340119.2197,Florida,1,169169.3318
156713.0,133601.1853,371157.2006,New York,10,182911.4628
100606.0,125315.048,262898.5909,California,1,134979.7368
24830.0,114124.1031,116688.592,Florida,8,70244.95388
141159.0,131304.0997,341145.7152,New York,3,169623.8148
101587.0,125459.9265,264791.4331,Florida,4,135817.7966
1215.0,110636.5323,71123.385,New York,1,50070.86316
13269.0,112416.722,94381.61091,Florida,5,60368.49134
155679.0,133448.4795,369162.0948,New York,9,182028.1255
50634.0,117934.9554,166477.4805,California,3,92289.08842
158637.0,133885.3304,374869.5639,Florida,9,184555.1194
101322.0,125420.7901,264280.1149,California,4,135591.4094
28980.0,114736.994,124696.0283,New York,5,73790.26307
130675.0,129755.7748,320916.8085,Florida,8,160667.424
84533.0,122941.3141,231885.6935,California,8,121248.7116
